frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
12,person,0.8,,429,257,489,445,,0.8,left
12,person,0.78,,337,273,398,442,,0.78,left
12,car,0.77,,1344,322,1446,385,,0.77,right
12,car,0.76,,1113,312,1196,369,,0.76,right
12,car,0.6,,1289,319,1342,347,,0.6,right
12,car,0.55,,1430,322,1511,381,,0.55,right
12,car,0.38,,1463,324,1512,382,,0.38,right
12,car,0.36,,1433,323,1483,377,,0.36,right
12,car,0.33,,1216,319,1251,342,,0.33,right
12,car,0.26,,1252,317,1284,340,,0.26,right
13,car,0.9,,768,300,1066,488,,0.9,right
13,person,0.77,,433,258,490,442,,0.77,left
13,car,0.76,,1113,311,1196,370,,0.76,right
13,person,0.76,,340,279,403,442,,0.76,left
13,car,0.73,,1344,321,1439,384,,0.73,right
13,car,0.62,,1289,319,1342,347,,0.62,right
13,car,0.56,,1426,322,1511,381,,0.56,right
13,car,0.41,,1427,323,1480,379,,0.41,right
13,car,0.41,,1463,324,1512,382,,0.41,right
13,car,0.35,,1216,319,1251,342,,0.35,right
13,car,0.28,,1252,317,1284,340,,0.28,right
13,car,0.26,,1197,317,1232,345,,0.26,right
13,car,0.26,,1509,313,1569,382,,0.26,right
14,car,0.92,,746,299,1059,496,,0.92,right
14,car,0.79,,1111,312,1194,370,,0.79,right
14,person,0.78,,433,260,494,443,,0.78,left
14,person,0.76,,343,277,404,442,,0.76,left
14,car,0.72,,1344,321,1435,384,,0.72,right
14,car,0.61,,1290,319,1342,347,,0.61,right
14,car,0.54,,1425,322,1513,380,,0.54,right
14,car,0.43,,1423,323,1480,379,,0.43,right
14,car,0.4,,1463,323,1512,381,,0.4,right
14,car,0.38,,1218,319,1251,342,,0.38,right
14,car,0.34,,1341,321,1377,360,,0.34,right
14,car,0.32,,1029,314,1093,368,,0.32,right
14,car,0.31,,1252,317,1284,340,,0.31,right
14,car,0.29,,1193,317,1225,345,,0.29,right
15,car,0.91,,726,298,1049,501,,0.91,right
15,person,0.83,,436,260,499,444,,0.83,left
15,car,0.8,,1109,312,1193,371,,0.8,right
15,person,0.76,,345,279,405,442,,0.76,left
15,car,0.7,,1344,322,1431,383,,0.7,right
15,car,0.61,,1291,320,1342,347,,0.61,right
15,car,0.52,,1424,323,1512,380,,0.52,right
15,car,0.43,,1422,323,1481,379,,0.43,right
15,car,0.39,,1341,322,1378,360,,0.39,right
15,car,0.39,,1462,323,1512,381,,0.39,right
15,car,0.36,,997,310,1091,371,,0.36,right
15,car,0.35,,1219,319,1251,342,,0.35,right
15,car,0.33,,974,307,1100,375,,0.33,right
15,car,0.29,,1252,317,1284,340,,0.29,right
15,car,0.26,,1195,317,1232,345,,0.26,right
16,car,0.91,,700,298,1043,511,221,0.91,right
16,car,0.78,,1106,311,1193,371,,0.78,right
16,person,0.78,,441,262,505,442,,0.78,left
16,person,0.74,,347,280,407,442,,0.74,left
16,car,0.68,,1342,323,1426,383,,0.68,right
16,car,0.56,,1290,319,1343,346,,0.56,right
16,car,0.51,,1420,323,1510,380,,0.51,right
16,car,0.42,,983,306,1104,378,,0.42,right
16,car,0.34,,1456,323,1512,381,,0.34,right
16,car,0.34,,1218,319,1251,342,,0.34,right
16,person,0.29,,439,256,532,447,,0.29,left
16,car,0.28,,1252,317,1284,340,,0.28,right
17,car,0.94,,674,298,1033,518,,0.94,right
17,person,0.8,,352,283,412,441,,0.8,left
17,person,0.78,,443,272,510,442,,0.78,left
17,car,0.78,,1104,310,1193,374,,0.78,right
17,car,0.66,,1340,323,1425,382,,0.66,right
17,car,0.56,,1290,319,1342,346,,0.56,right
17,car,0.48,,1419,323,1509,381,,0.48,right
17,car,0.45,,1418,323,1483,380,,0.45,right
17,car,0.43,,985,305,1099,379,,0.43,right
17,car,0.43,,1339,322,1386,366,,0.43,right
17,car,0.37,,1217,318,1252,342,,0.37,right
17,car,0.34,,1461,323,1512,381,,0.34,right
17,car,0.28,,1190,316,1224,346,,0.28,right
17,car,0.26,,1252,317,1284,340,,0.26,right
18,car,0.94,,646,296,1024,528,,0.94,right
18,person,0.82,,355,282,414,442,,0.82,left
18,car,0.81,,1104,311,1190,374,,0.81,right
18,person,0.78,,445,273,513,442,,0.78,left
18,car,0.61,,1339,324,1425,381,,0.61,right
18,car,0.54,,1291,319,1340,345,,0.54,right
18,car,0.51,,1422,323,1510,381,,0.51,right
18,car,0.49,,990,307,1099,383,,0.49,right
18,car,0.43,,1337,324,1389,373,,0.43,right
18,car,0.38,,1219,319,1251,342,,0.38,right
18,car,0.33,,1452,323,1512,381,,0.33,right
18,car,0.3,,1187,316,1222,346,,0.3,right
18,car,0.27,,1252,317,1284,340,,0.27,right
19,car,0.95,,612,294,1015,536,,0.95,right
19,person,0.85,,355,279,417,443,,0.85,left
19,person,0.77,,446,269,514,444,,0.77,left
19,car,0.76,,1101,310,1189,375,,0.76,right
19,car,0.59,,1337,324,1420,381,,0.59,right
19,car,0.57,,1290,319,1340,346,,0.57,right
19,car,0.5,,1422,323,1509,381,,0.5,right
19,car,0.45,,976,305,1098,384,,0.45,right
19,car,0.43,,1425,323,1484,380,,0.43,right
19,car,0.36,,1220,319,1251,343,,0.36,right
19,car,0.34,,1456,322,1512,381,,0.34,right
19,car,0.31,,989,309,1088,348,,0.31,right
19,car,0.27,,1187,316,1220,346,,0.27,right
19,car,0.26,,1252,317,1283,340,,0.26,right
20,car,0.94,,580,294,1004,544,,0.94,right
20,person,0.84,,359,278,419,443,,0.84,left
20,person,0.76,,450,268,514,444,,0.76,left
20,car,0.72,,1099,309,1189,376,,0.72,right
20,car,0.62,,1335,325,1417,379,,0.62,right
20,car,0.57,,1290,320,1341,346,,0.57,right
20,car,0.5,,970,305,1097,386,,0.5,right
20,car,0.43,,1422,323,1509,381,,0.43,right
20,car,0.4,,1426,324,1482,380,,0.4,right
20,car,0.34,,1457,322,1512,381,,0.34,right
20,car,0.34,,1409,323,1469,378,,0.34,right
20,car,0.34,,975,304,1094,363,,0.34,right
20,car,0.31,,1221,319,1251,343,,0.31,right
21,car,0.94,,541,293,995,559,,0.94,right
21,person,0.82,,361,278,420,443,,0.82,left
21,person,0.78,,455,262,518,443,,0.78,left
21,car,0.7,,1098,311,1188,377,,0.7,right
21,car,0.64,,1334,325,1410,378,,0.64,right
21,car,0.55,,1290,320,1340,346,,0.55,right
21,car,0.4,,1405,323,1466,378,,0.4,right
21,car,0.4,,1426,324,1481,380,,0.4,right
21,car,0.39,,1422,323,1504,380,,0.39,right
21,car,0.38,,966,304,1096,387,,0.38,right
21,car,0.33,,1460,322,1513,381,,0.33,right
21,car,0.29,,974,304,1094,363,,0.29,right
21,car,0.27,,1223,320,1251,343,,0.27,right
22,car,0.92,,500,292,981,568,,0.92,right
22,person,0.81,,457,263,518,443,,0.81,left
22,person,0.78,,362,274,421,441,,0.78,left
22,car,0.71,,1095,311,1188,378,,0.71,right
22,car,0.64,,1331,326,1407,378,,0.64,right
22,car,0.52,,1291,321,1339,346,,0.52,right
22,car,0.42,,1403,324,1455,377,,0.42,right
22,car,0.39,,1422,323,1505,380,,0.39,right
22,car,0.38,,1427,324,1482,380,,0.38,right
22,car,0.31,,1458,323,1512,381,,0.31,right
22,car,0.28,,1222,320,1251,343,,0.28,right
23,car,0.93,,448,292,971,588,,0.93,right
23,person,0.8,,365,271,424,439,,0.8,left
23,car,0.73,,1093,312,1187,380,,0.73,right
23,person,0.72,,461,264,519,410,,0.72,left
23,car,0.69,,1331,324,1406,377,,0.69,right
23,car,0.52,,1288,320,1339,349,,0.52,right
23,car,0.42,,1400,324,1445,375,,0.42,right
23,car,0.4,,1426,323,1506,380,,0.4,right
23,car,0.35,,1428,325,1488,378,,0.35,right
23,car,0.31,,996,307,1079,341,,0.31,right
23,car,0.31,,1455,323,1512,381,,0.31,right
23,car,0.28,,1378,325,1436,375,,0.28,right
23,car,0.27,,1223,320,1251,343,,0.27,right
23,car,0.26,,1182,318,1220,345,,0.26,right
24,car,0.94,,395,289,955,605,,0.94,left
24,person,0.79,,365,274,427,440,,0.79,left
24,car,0.76,,1092,311,1184,381,,0.76,right
24,car,0.69,,1328,325,1403,377,,0.69,right
24,person,0.61,,463,265,521,396,,0.61,left
24,car,0.46,,1289,321,1336,350,,0.46,right
24,car,0.43,,1399,324,1445,373,,0.43,right
24,car,0.38,,1428,323,1506,380,,0.38,right
24,car,0.33,,993,306,1067,344,,0.33,right
24,car,0.31,,1428,324,1484,379,,0.31,right
24,car,0.31,,1453,323,1512,381,,0.31,right
24,car,0.27,,1222,321,1251,343,,0.27,right
24,car,0.26,,1183,320,1222,347,,0.26,right
25,car,0.93,,337,286,938,616,,0.93,left
25,car,0.78,,1089,310,1183,381,,0.78,right
25,person,0.73,,367,272,427,416,,0.73,left
25,car,0.7,,1327,327,1400,373,,0.7,right
25,car,0.43,,1394,324,1448,374,,0.43,right
25,car,0.4,,1429,323,1507,380,,0.4,right
25,car,0.4,,1289,321,1335,350,,0.4,right
25,person,0.39,,466,271,521,380,,0.39,left
25,car,0.33,,996,306,1063,344,,0.33,right
25,person,0.32,,479,272,522,372,,0.32,left
25,car,0.31,,1451,323,1513,381,,0.31,right
25,car,0.31,,1324,326,1365,364,,0.31,right
25,car,0.3,,1427,324,1483,379,,0.3,right
25,car,0.29,,1221,320,1251,343,,0.29,right
25,car,0.27,,1183,320,1226,346,,0.27,right
26,car,0.92,,267,287,922,641,,0.92,left
26,car,0.79,,1085,311,1182,382,,0.79,right
26,car,0.68,,1324,327,1399,373,,0.68,right
26,person,0.64,,373,277,427,399,,0.64,left
26,car,0.43,,1428,323,1507,380,,0.43,right
26,car,0.42,,1392,325,1445,370,,0.42,right
26,car,0.33,,1320,326,1358,363,,0.33,right
26,car,0.33,,1291,321,1333,351,,0.33,right
26,car,0.32,,1446,323,1513,382,,0.32,right
26,car,0.32,,1428,324,1483,379,,0.32,right
26,car,0.31,,1221,320,1251,343,,0.31,right
26,car,0.3,,1189,321,1235,346,,0.3,right
26,car,0.3,,1001,309,1063,342,,0.3,right
26,person,0.27,,470,260,519,342,,0.27,left
26,car,0.27,,1168,311,1211,345,,0.27,right
26,car,0.26,,1508,313,1568,383,,0.26,right
27,car,0.91,,186,285,906,666,,0.91,left
27,car,0.8,,1083,311,1179,384,,0.8,right
27,car,0.69,,1322,327,1398,373,,0.69,right
27,car,0.44,,1391,325,1444,369,,0.44,right
27,car,0.41,,1428,323,1506,380,,0.41,right
27,car,0.35,,1218,320,1251,343,,0.35,right
27,car,0.33,,1195,320,1245,346,,0.33,right
27,car,0.32,,1428,325,1486,378,,0.32,right
27,car,0.32,,997,308,1062,342,,0.32,right
27,car,0.31,,1450,323,1513,382,,0.31,right
27,car,0.28,,1168,310,1208,344,,0.28,right
27,car,0.27,,1291,321,1330,349,,0.27,right
27,car,0.27,,1508,313,1568,383,,0.27,right
28,car,0.94,,91,281,888,697,,0.94,left
28,car,0.79,,1080,311,1178,385,,0.79,right
28,car,0.74,,1319,326,1397,371,,0.74,right
28,car,0.53,,1390,325,1446,369,,0.53,right
28,car,0.39,,1429,323,1505,379,,0.39,right
28,car,0.35,,1219,320,1250,343,,0.35,right
28,car,0.33,,993,306,1065,344,,0.33,right
28,car,0.31,,1165,309,1206,344,,0.31,right
28,car,0.31,,1454,323,1513,382,,0.31,right
28,car,0.3,,1420,324,1477,378,,0.3,right
28,car,0.3,,1195,318,1244,346,,0.3,right
28,car,0.29,,1392,325,1464,374,,0.29,right
28,car,0.26,,1290,322,1326,348,,0.26,right
28,car,0.26,,1507,313,1569,383,,0.26,right
29,car,0.93,,1,278,867,728,,0.93,left
29,car,0.82,,1077,310,1176,385,,0.82,right
29,car,0.77,,1319,325,1396,372,,0.77,right
29,car,0.48,,1392,325,1444,369,,0.48,right
29,car,0.43,,1428,323,1505,380,,0.43,right
29,car,0.37,,994,307,1064,342,,0.37,right
29,car,0.36,,1219,320,1250,343,,0.36,right
29,car,0.32,,1448,323,1513,382,,0.32,right
29,car,0.32,,1426,324,1481,378,,0.32,right
29,car,0.31,,1196,318,1247,346,,0.31,right
29,car,0.3,,1165,308,1205,345,,0.3,right
29,car,0.28,,1291,322,1325,347,,0.28,right
29,car,0.26,,1507,313,1569,383,,0.26,right
30,car,0.93,,0,277,848,769,,0.93,left
30,car,0.78,,1072,310,1174,385,,0.78,right
30,car,0.78,,1317,324,1394,371,,0.78,right
30,car,0.45,,1428,323,1505,380,,0.45,right
30,car,0.43,,1390,325,1442,369,,0.43,right
30,car,0.38,,1216,320,1250,343,,0.38,right
30,car,0.37,,993,306,1064,343,,0.37,right
30,car,0.34,,1427,324,1484,379,,0.34,right
30,car,0.32,,1444,323,1513,382,,0.32,right
30,car,0.32,,1196,319,1248,347,,0.32,right
30,car,0.29,,1163,309,1207,348,,0.29,right
30,car,0.27,,1507,313,1569,383,,0.27,right
31,car,0.94,,0,273,819,829,,0.94,left
31,car,0.76,,1071,309,1174,386,,0.76,right
31,car,0.75,,1317,326,1392,370,,0.75,right
31,car,0.43,,1427,323,1504,380,,0.43,right
