frame,license_plate,detected
266,2867KHZ,Yes
267,B2867KHZ,Yes
268,R2867KHZ,Yes
269,2867KHZ,Yes
270,2867KHZ,Yes
271,2867KHZ,Yes
272,B2867KHZ,Yes
273,2867KHZ,Yes
274,2867KHZ,Yes
275,2867KHZ,Yes
276,2867KHZ,Yes
277,2867KHZ,Yes
278,42867KHZ,Yes
279,B2867KHZ,Yes
280,R2867KHZ,Yes
281,R2867KHZ,Yes
282,R2867KHZ,Yes
283,R2867KHZ,Yes
284,B2867KHZ,Yes
285,B2867KHZ,Yes
286,52867KH7,Yes
287,B2867KHZ,Yes
288,B2867KHZ,Yes
289,B2867KHZ,Yes
290,B2867KHZ,Yes
291,B2867KHZ,Yes
292,B2867KHZ,Yes
293,B2867KHZ,Yes
294,B2867KHZ,Yes
295,2867KHZ,Yes
296,S2867KHZ,Yes
297,B2867KH7,Yes
298,B2867KH7,Yes
299,B2867KH7,Yes
300,2867KHZ,Yes
301,2867KHZ,Yes
302,B2867KH7,Yes
303,B2867KH7,Yes
304,B2867KH7,Yes
305,2867KHZ,Yes
306,B2867KHZ,Yes
307,B2867KH2Z,Yes
308,B2867KHZ,Yes
309,B2867KHZ,Yes
310,S2867KHZ,Yes
311,2867KHZ,Yes
312,2867KHZ,Yes
313,52867KHZ,Yes
314,2867KHZ,Yes
315,52867KHZ,Yes
316,52867KHZ,Yes
317,52867KHZ,Yes
318,B2867KHZ,Yes
319,B2867KHZ,Yes
320,B2867KHZ,Yes
321,B2867KHZ,Yes
322,52867KHZ,Yes
323,52867KHZ,Yes
324,B2867KHZ,Yes
325,B2867KHZ,Yes
326,B2867KHZ,Yes
327,B2867KHZ,Yes
328,B2867KH7,Yes
329,B2867KH7,Yes
330,B2867KHZ,Yes
331,B2867KHZ,Yes
332,B2867KHZ,Yes
333,B2867KHZ,Yes
334,B2867KHZ,Yes
335,B2867KHZ,Yes
336,B2867KHZ,Yes
337,B2867KHZ,Yes
338,B2867KHZ,Yes
339,B2867KHZ,Yes
340,B2867KHZ,Yes
341,B2867KHZ,Yes
342,42867KHZ,Yes
343,2867KHZ,Yes
344,82867KHZ,Yes
345,B2867KHZ,Yes
346,B2867KHZ,Yes
347,B2867KHZ,Yes
348,B2867KHZ,Yes
349,B2867KHZ,Yes
350,B2867KHZ,Yes
351,2867KHZ,Yes
352,2867KHZ,Yes
353,B2867KHZ,Yes
354,82867KHZ,Yes
355,82867KH7,Yes
356,82867KHZ,Yes
357,82867KHZ,Yes
358,42867KHZ,Yes
359,B2867KH7,Yes
360,B2867KH7,Yes
361,B2867KH7,Yes
362,82867KHZ,Yes
363,82867KH7,Yes
364,82867KH7,Yes
365,B2867KH7,Yes
366,B2867KH7,Yes
367,B2867KH7,Yes
368,2867KHZ,Yes
369,82867KHZ,Yes
370,B2867KH7,Yes
371,B2867KH7,Yes
372,B2867KH7,Yes
373,2867KHZ,Yes
374,B2867KH7,Yes
375,B2867KH7,Yes
376,B2867KH7,Yes
377,2867KHZ,Yes
378,B2867KH7,Yes
379,82867KHZ,Yes
380,82867KHZ,Yes
381,82867KHZ,Yes
382,B2867KH7,Yes
383,B2867KH7,Yes
384,B2867KH7,Yes
385,B2867KH7,Yes
386,B2867KH7,Yes
387,B2867KH7,Yes
388,B2867KH7,Yes
389,B2867KH7,Yes
390,B2867KH7,Yes
391,B2867KH7,Yes
392,B2867KH7,Yes
393,B2867KH7,Yes
394,B2867KH7,Yes
395,B2867KH7,Yes
396,B2867KH7,Yes
397,B2867KH7,Yes
398,B2867KH7,Yes
399,82867KH7,Yes
400,82867KHZ,Yes
401,B2867KH7,Yes
402,B2867KH7,Yes
403,B2867KH7,Yes
404,B2867KH7,Yes
405,B2867KH7,Yes
406,B2867KHZ,Yes
407,2867KHZ,Yes
408,2867KH7,Yes
409,B2867KHZ,Yes
410,B2867KHZ,Yes
411,2867KH7Z,Yes
412,2867KH7,Yes
413,B2867KH7,Yes
414,2867KHZ,Yes
415,2867KHZ,Yes
416,B2867KHZ,Yes
417,2867KHZ,Yes
418,2867KHZ,Yes
419,2867KHZ,Yes
420,2867KH7,Yes
421,2867KHZ,Yes
422,B2867KH7,Yes
423,B2867KH7,Yes
424,2867KHZ,Yes
425,B2867KH7,Yes
426,B2867KH7,Yes
427,B2867KH7,Yes
428,B2867KH7,Yes
429,B2867KH7,Yes
430,B2867KH7,Yes
431,B2867KH7,Yes
432,B2867KH7,Yes
433,B2867KH7,Yes
434,B2867KH7,Yes
435,B2867KH7,Yes
436,B2867KH7,Yes
437,B2867KH7,Yes
438,B2867KH7,Yes
439,B2867KH7,Yes
