frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
40,person,0.27,,82,192,90,214,,0.27,left
40,person,0.26,,70,193,80,214,,0.26,left
41,car,0.85,,271,164,467,301,,0.85,right
41,person,0.32,,604,200,619,233,,0.32,right
41,person,0.29,,104,193,112,213,,0.29,left
41,person,0.27,,83,192,90,214,,0.27,left
41,person,0.26,,70,193,80,214,,0.26,left
42,car,0.84,,271,165,468,302,,0.84,right
42,person,0.49,,605,200,619,234,,0.49,right
42,person,0.29,,82,192,90,215,,0.29,left
43,car,0.86,,270,164,469,304,,0.86,right
43,person,0.39,,605,200,619,234,,0.39,right
43,person,0.29,,82,192,90,214,,0.29,left
44,car,0.86,,270,164,469,303,9,0.86,right
44,person,0.49,,604,200,619,235,,0.49,right
44,person,0.26,,82,192,90,214,,0.26,left
45,car,0.86,,270,165,469,302,2,0.86,right
45,person,0.42,,604,201,618,235,,0.42,right
46,car,0.86,,270,164,469,304,,0.86,right
46,person,0.49,,604,200,618,235,,0.49,right
46,person,0.29,,104,193,112,212,,0.29,left
47,car,0.86,,270,164,470,306,,0.86,right
47,person,0.55,,604,200,618,239,,0.55,right
47,person,0.3,,104,193,112,212,,0.3,left
48,car,0.86,,269,164,470,305,,0.86,right
48,person,0.51,,604,201,618,239,,0.51,right
48,person,0.31,,104,193,112,212,,0.31,left
48,person,0.27,,82,191,90,214,,0.27,left
49,car,0.86,,270,164,470,306,RA,0.86,right
49,person,0.55,,603,200,618,239,,0.55,right
49,person,0.29,,104,193,112,213,,0.29,left
50,car,0.87,,270,164,470,304,,0.87,right
50,person,0.39,,602,200,617,238,,0.39,right
50,person,0.29,,104,193,111,213,,0.29,left
51,car,0.87,,270,164,471,304,8,0.87,right
51,person,0.29,,104,193,112,213,,0.29,left
52,car,0.87,,270,164,470,305,,0.87,right
52,person,0.27,,103,193,111,213,,0.27,left
52,person,0.26,,601,200,616,236,,0.26,right
53,car,0.87,,270,164,471,304,3,0.87,right
53,person,0.29,,103,193,111,213,,0.29,left
53,person,0.26,,81,191,90,215,,0.26,left
54,car,0.86,,270,164,472,305,3,0.86,right
54,person,0.29,,103,193,111,213,,0.29,left
