frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
30,car,0.88,,271,168,454,305,BS2867KHZ,0.88,right
30,person,0.64,,604,199,619,240,,0.64,right
30,person,0.41,,71,189,80,214,,0.41,left
30,person,0.4,,72,189,82,214,,0.4,left
30,person,0.26,,69,189,78,214,,0.26,left
31,car,0.86,,270,167,455,305,B2867KHZ,0.86,right
31,person,0.66,,604,199,619,240,,0.66,right
31,person,0.35,,72,191,80,213,,0.35,left
31,person,0.35,,73,191,82,214,,0.35,left
32,car,0.87,,270,167,456,304,82867KH2,0.87,right
32,person,0.67,,604,199,619,239,,0.67,right
32,person,0.39,,71,191,80,213,,0.39,left
32,person,0.38,,73,191,82,213,,0.38,left
33,car,0.88,,270,167,457,306,2867KHZ,0.88,right
33,person,0.68,,605,199,619,239,,0.68,right
33,person,0.41,,71,191,79,213,,0.41,left
33,person,0.38,,72,191,81,214,,0.38,left
34,car,0.87,,270,167,458,305,B2867KH2,0.87,right
34,person,0.61,,605,199,619,239,,0.61,right
34,person,0.44,,70,190,79,213,,0.44,left
34,person,0.32,,82,190,91,214,,0.32,left
35,car,0.89,,270,167,459,304,B2867KH2,0.89,right
35,person,0.42,,70,191,79,213,,0.42,left
35,person,0.4,,605,198,619,239,,0.4,right
35,person,0.32,,82,190,91,214,,0.32,left
36,car,0.88,,270,166,460,304,B2857KHZI,0.88,right
36,person,0.47,,605,198,619,240,,0.47,right
36,person,0.38,,71,191,80,213,,0.38,left
36,person,0.37,,82,190,91,214,,0.37,left
37,car,0.89,,269,166,461,304,B2867KH2,0.89,right
37,person,0.52,,604,198,619,239,,0.52,right
37,person,0.4,,81,190,91,214,,0.4,left
37,person,0.39,,70,191,80,213,,0.39,left
38,car,0.88,,270,166,464,304,12867KHZ,0.88,right
38,person,0.58,,604,198,619,239,,0.58,right
38,person,0.4,,81,190,91,214,,0.4,left
38,person,0.39,,70,191,80,213,,0.39,left
39,car,0.88,,269,166,465,305,2867KHZ,0.88,right
39,person,0.42,,81,190,91,214,,0.42,left
39,person,0.36,,70,191,80,213,,0.36,left
39,person,0.29,,604,199,619,238,,0.29,right
40,car,0.88,,269,166,465,305,82867KHZ,0.88,right
40,person,0.44,,81,190,91,215,,0.44,left
40,person,0.35,,70,191,80,213,,0.35,left
41,car,0.89,,269,166,467,305,82867KHZ,0.89,right
41,person,0.43,,81,190,91,215,,0.43,left
41,person,0.36,,70,191,80,213,,0.36,left
42,car,0.89,,268,166,467,307,82867KHZ,0.89,right
42,person,0.5,,81,190,91,215,,0.5,left
42,person,0.39,,70,191,79,213,,0.39,left
43,car,0.88,,268,166,468,306,B2867KHZ,0.88,right
43,person,0.51,,81,190,91,215,,0.51,left
43,person,0.42,,70,191,79,213,,0.42,left
44,car,0.89,,269,166,469,305,B2867KHZ,0.89,right
44,person,0.49,,81,190,90,214,,0.49,left
44,person,0.43,,70,191,80,213,,0.43,left
45,car,0.89,,268,166,469,306,B2867KHZ,0.89,right
45,person,0.48,,81,190,90,214,,0.48,left
45,person,0.43,,70,191,80,213,,0.43,left
46,car,0.89,,269,166,469,305,2867KHZ,0.89,right
46,person,0.46,,81,190,90,214,,0.46,left
46,person,0.34,,70,191,79,213,,0.34,left
46,person,0.27,,62,188,72,213,,0.27,left
47,car,0.89,,269,166,470,305,2867KHZ,0.89,right
47,person,0.49,,81,190,90,214,,0.49,left
47,person,0.38,,604,200,618,237,,0.38,right
47,person,0.37,,70,191,79,213,,0.37,left
47,person,0.26,,63,189,72,213,,0.26,left
48,car,0.89,,269,166,470,306,2867KHZ,0.89,right
48,person,0.5,,81,190,90,214,,0.5,left
48,person,0.35,,604,200,618,238,,0.35,right
48,person,0.3,,70,191,79,213,,0.3,left
48,person,0.28,,62,188,72,213,,0.28,left
49,car,0.89,,270,165,471,304,B2867KHZ,0.89,right
49,person,0.5,,81,189,90,214,,0.5,left
49,person,0.4,,603,200,618,239,,0.4,right
49,person,0.31,,70,191,79,214,,0.31,left
50,car,0.9,,269,165,471,304,B2867KHZ,0.9,right
50,person,0.57,,80,189,90,215,,0.57,left
50,person,0.46,,602,200,617,240,,0.46,right
50,person,0.32,,70,191,79,214,,0.32,left
51,car,0.89,,269,165,471,303,B2867KHZ,0.89,right
51,person,0.59,,80,189,90,215,,0.59,left
51,person,0.31,,70,191,79,214,,0.31,left
51,person,0.26,,601,200,617,238,,0.26,right
52,car,0.9,,269,166,472,303,2867KHZI,0.9,right
52,person,0.58,,80,189,90,215,,0.58,left
52,person,0.33,,601,200,617,239,,0.33,right
52,person,0.31,,70,191,79,214,,0.31,left
53,car,0.9,,270,166,472,302,82867KHZ,0.9,right
53,person,0.59,,80,189,90,215,,0.59,left
53,person,0.31,,70,191,79,214,,0.31,left
54,car,0.89,,270,165,471,302,82867KHZ,0.89,right
54,person,0.59,,80,189,90,215,,0.59,left
54,person,0.31,,70,191,79,214,,0.31,left
55,car,0.9,,270,165,471,302,52867KHZI,0.9,right
55,person,0.59,,80,189,90,215,,0.59,left
55,person,0.3,,600,200,616,234,,0.3,right
55,person,0.3,,70,191,79,214,,0.3,left
56,car,0.9,,270,165,472,302,2867KHZ,0.9,right
56,person,0.6,,80,189,90,215,,0.6,left
56,person,0.3,,599,200,617,240,,0.3,right
56,person,0.3,,70,191,79,214,,0.3,left
57,car,0.9,,270,165,472,302,2867KHZ,0.9,right
57,person,0.61,,80,189,90,215,,0.61,left
57,person,0.37,,70,191,79,214,,0.37,left
58,car,0.9,,270,165,472,301,2867KHZ,0.9,right
58,person,0.61,,80,189,90,215,,0.61,left
58,person,0.36,,70,191,79,214,,0.36,left
59,car,0.9,,270,165,472,302,2867KHZ,0.9,right
59,person,0.59,,80,189,90,215,,0.59,left
59,person,0.32,,70,191,78,214,,0.32,left
60,car,0.9,,270,165,472,301,2867KHZ,0.9,right
60,person,0.59,,80,189,90,215,,0.59,left
60,person,0.37,,598,200,612,240,,0.37,right
60,person,0.33,,70,191,78,214,,0.33,left
61,car,0.9,,270,165,472,301,42867KHZ,0.9,right
61,person,0.59,,80,189,90,215,,0.59,left
61,person,0.48,,598,200,613,240,,0.48,right
61,person,0.32,,70,191,78,214,,0.32,left
62,car,0.9,,270,165,472,301,2867KHZ,0.9,right
62,person,0.59,,80,189,90,215,,0.59,left
62,person,0.47,,597,200,612,240,,0.47,right
62,person,0.31,,70,191,78,214,,0.31,left
63,car,0.89,,270,165,472,301,2867KHZ,0.89,right
63,person,0.58,,80,189,90,215,,0.58,left
63,person,0.3,,70,191,78,214,,0.3,left
63,person,0.28,,596,201,612,240,,0.28,right
64,car,0.9,,270,165,472,301,82867KHZ,0.9,right
64,person,0.58,,80,189,90,215,,0.58,left
64,person,0.32,,70,191,79,214,,0.32,left
64,person,0.26,,596,202,611,237,,0.26,right
65,car,0.9,,270,165,473,301,82867KHZ,0.9,right
